,Original,Porter,Lancaster,Snowball
6075,singling,singl,singl,singl
6076,tingling,tingl,tingl,tingl
6077,ailing,ail,ail,ail
6078,bailing,bail,bail,bail
6079,failing,fail,fail,fail
6080,unfailing,unfail,unfail,unfail
6081,flailing,flail,flail,flail
6082,mailing,mail,mail,mail
6083,nailing,nail,nail,nail
6084,railing,rail,rail,rail
6085,trailing,trail,trail,trail
6086,sailing,sail,sail,sail
6087,assailing,assail,assail,assail
6088,retailing,retail,retail,retail
6089,availing,avail,avail,avail
6090,unavailing,unavail,unavail,unavail
6091,prevailing,prevail,prevail,prevail
6092,countervailing,countervail,countervail,countervail
6093,wailing,wail,wail,wail
6094,reconciling,reconcil,reconcil,reconcil
6095,ceiling,ceil,ceil,ceil
6096,veiling,veil,veil,veil
6097,unsmiling,unsmil,unsmil,unsmil
6098,boiling,boil,boil,boil
6099,coiling,coil,coil,coil
6100,uncoiling,uncoil,uncoil,uncoil
6101,spoiling,spoil,spoil,spoil
6102,despoiling,despoil,despoil,despoil
6103,roiling,roil,roil,roil
6104,stockpiling,stockpil,stockpil,stockpil
6105,compiling,compil,compil,compil
6106,beguiling,beguil,beguil,beguil
6107,exiling,exil,exil,exil
6108,crackling,crackl,crackl,crackl
6109,trickling,trickl,trickl,trickl
6110,buckling,buckl,buckl,buckl
6111,inkling,inkl,inkl,inkl
6112,tinkling,tinkl,tinkl,tinkl
6113,twinkling,twinkl,twinkl,twinkl
6114,darkling,darkl,darkl,darkl
6115,sparkling,sparkl,sparkl,sparkl
6116,recalling,recal,recal,recal
6117,marshalling,marshal,marshal,marshal
6118,appalling,appal,appal,appal
6119,enthralling,enthral,enthral,enthral
6120,corralling,corral,corral,corral
6121,installing,instal,instal,instal
6122,rebelling,rebel,rebel,rebel
6123,cancelling,cancel,cancel,cancel
6124,impelling,impel,impel,impel
6125,compelling,compel,compel,compel
6126,propelling,propel,propel,propel
6127,expelling,expel,expel,expel
6128,bestselling,bestsel,bestsel,bestsel
6129,retelling,retel,retel,retel
6130,travelling,travel,travel,travel
6131,revelling,revel,revel,revel
6132,indwelling,indwel,indwel,indwel
6133,fulfilling,fulfil,fulfil,fulfil
6134,distilling,distil,distil,distil
6135,unwilling,unwil,unwil,unwil
6136,enrolling,enrol,enrol,enrol
6137,patrolling,patrol,patrol,patrol
6138,controlling,control,control,control
6139,cooling,cool,cool,cool
6140,fooling,fool,fool,fool
6141,pooling,pool,pool,pool
6142,tooling,tool,tool,tool
6143,consoling,consol,consol,consol
6144,sapling,sapl,sapl,sapl
6145,stapling,stapl,stapl,stapl
6146,kipling,kipl,kipl,kipl
6147,trampling,trampl,trampl,trampl
6148,sampling,sampl,sampl,sampl
6149,grappling,grappl,grappl,grappl
6150,rippling,rippl,rippl,rippl
6151,crippling,crippl,crippl,crippl
6152,toppling,toppl,toppl,toppl
6153,purpling,purpl,purpl,purpl
6154,coupling,coupl,coupl,coupl
6155,quadrupling,quadrupl,quadrupl,quadrupl
6156,darling,darl,darl,darl
6157,snarling,snarl,snarl,snarl
6158,sparling,sparl,sparl,sparl
6159,underling,underl,underl,underl
6160,sterling,sterl,sterl,sterl
6161,whirling,whirl,whirl,whirl
6162,stirling,stirl,stirl,stirl
6163,swirling,swirl,swirl,swirl
6164,twirling,twirl,twirl,twirl
6165,curling,curl,curl,curl
6166,hurling,hurl,hurl,hurl
6167,purling,purl,purl,purl
6168,watling,watl,watl,watl
6169,beetling,beetl,beetl,beetl
6170,startling,startl,startl,startl
6171,chortling,chortl,chortl,chortl
6172,hurtling,hurtl,hurtl,hurtl
6173,nestling,nestl,nestl,nestl
6174,wrestling,wrestl,wrestl,wrestl
6175,whistling,whistl,whistl,whistl
6176,bristling,bristl,bristl,bristl
6177,bustling,bustl,bustl,bustl
6178,hustling,hustl,hustl,hustl
6179,rustling,rustl,rustl,rustl
6180,battling,battl,battl,battl
6181,rattling,rattl,rattl,rattl
6182,settling,settl,settl,settl
6183,resettling,resettl,resettl,resettl
6184,unsettling,unsettl,unsettl,unsettl
6185,belittling,belittl,belittl,belittl
6186,bottling,bottl,bottl,bottl
6187,scuttling,scuttl,scuttl,scuttl
6188,shuttling,shuttl,shuttl,shuttl
6189,hauling,haul,haul,haul
6190,mauling,maul,maul,maul
6191,pauling,paul,paul,paul
6192,fouling,foul,foul,foul
6193,bawling,bawl,bawl,bawl
6194,crawling,crawl,crawl,crawl
6195,drawling,drawl,drawl,drawl
6196,cowling,cowl,cowl,cowl
6197,scowling,scowl,scowl,scowl
6198,howling,howl,howl,howl
6199,growling,growl,growl,growl
6200,prowling,prowl,prowl,prowl
6201,dazzling,dazzl,dazzl,dazzl
6202,embezzling,embezzl,embezzl,embezzl
6203,drizzling,drizzl,drizzl,drizzl
6204,frizzling,frizzl,frizzl,frizzl
6205,sizzling,sizzl,sizzl,sizzl
6206,puzzling,puzzl,puzzl,puzzl
6207,beaming,beam,beam,beam
6208,gleaming,gleam,gleam,gleam
6209,dreaming,dream,dream,dream
6210,daydreaming,daydream,daydream,daydream
6211,teaming,team,team,team
6212,steaming,steam,steam,steam
6213,foaming,foam,foam,foam
6214,roaming,roam,roam,roam
6215,programing,program,program,program
6216,deeming,deem,deem,deem
6217,redeeming,redeem,redeem,redeem
6218,seeming,seem,seem,seem
6219,teeming,teem,teem,teem
6220,aiming,aim,aim,aim
6221,claiming,claim,claim,claim
6222,proclaiming,proclaim,proclaim,proclaim
6223,exclaiming,exclaim,exclaim,exclaim
6224,twotiming,twotim,twotim,twotim
6225,calming,calm,calm,calm
6226,overwhelming,overwhelm,overwhelm,overwhelm
6227,filming,film,film,film
6228,hamming,ham,ham,ham
6229,lamming,lam,lam,lam
6230,slamming,slam,slam,slam
6231,ramming,ram,ram,ram
6232,programming,program,program,program
6233,hemming,hem,hem,hem
6234,shimming,shim,shim,shim
6235,skimming,skim,skim,skim
6236,trimming,trim,trim,trim
6237,swimming,swim,swim,swim
6238,bumming,bum,bum,bum
6239,gumming,gum,gum,gum
6240,humming,hum,hum,hum
6241,drumming,drum,drum,drum
6242,summing,sum,sum,sum
6243,becoming,becom,becom,becom
6244,homecoming,homecom,homecom,homecom
6245,forthcoming,forthcom,forthcom,forthcom
6246,welcoming,welcom,welcom,welcom
6247,incoming,incom,incom,incom
6248,oncoming,oncom,oncom,oncom
6249,upcoming,upcom,upcom,upcom
6250,overcoming,overcom,overcom,overcom
6251,booming,boom,boom,boom
6252,looming,loom,loom,loom
6253,blooming,bloom,bloom,bloom
6254,rooming,room,room,room
6255,grooming,groom,groom,groom
6256,mushrooming,mushroom,mushroom,mushroom
6257,zooming,zoom,zoom,zoom
6258,wyoming,wyom,wyom,wyom
6259,farming,farm,farm,farm
6260,charming,charm,charm,charm
6261,alarming,alarm,alarm,alarm
6262,disarming,disarm,disarm,disarm
6263,warming,warm,warm,warm
6264,swarming,swarm,swarm,swarm
6265,terming,term,term,term
6266,determing,determ,determ,determ
6267,affirming,affirm,affirm,affirm
6268,confirming,confirm,confirm,confirm
6269,forming,form,form,form
6270,reforming,reform,reform,reform
6271,informing,inform,inform,inform
6272,thermoforming,thermoform,thermoform,thermoform
6273,performing,perform,perform,perform
6274,transforming,transform,transform,transform
6275,storming,storm,storm,storm
6276,resuming,resum,resum,resum
6277,presuming,presum,presum,presum
6278,consuming,consum,consum,consum
6279,assuming,assum,assum,assum
6280,vacuuming,vacuum,vacuum,vacuum
6281,leaning,lean,lean,lean
6282,meaning,mean,mean,mean
6283,weaning,wean,wean,wean
6284,keening,keen,keen,keen
6285,careening,careen,careen,careen
6286,greening,green,green,green
6287,preening,preen,preen,preen
6288,campaigning,campaign,campaign,campaign
6289,arraigning,arraign,arraign,arraign
6290,feigning,feign,feign,feign
6291,reigning,reign,reign,reign
6292,aligning,align,align,align
6293,realigning,realign,realign,realign
6294,signing,sign,sign,sign
6295,designing,design,design,design
6296,resigning,resign,resign,resign
6297,assigning,assign,assign,assign
6298,disdaining,disdain,disdain,disdain
6299,gaining,gain,gain,gain
6300,regaining,regain,regain,regain
6301,bargaining,bargain,bargain,bargain
6302,complaining,complain,complain,complain
6303,explaining,explain,explain,explain
6304,remaining,remain,remain,remain
6305,raining,rain,rain,rain
6306,draining,drain,drain,drain
6307,graining,grain,grain,grain
6308,woodgraining,woodgrain,woodgrain,woodgrain
6309,training,train,train,train
6310,retraining,retrain,retrain,retrain
6311,restraining,restrain,restrain,restrain
6312,constraining,constrain,constrain,constrain
6313,overstraining,overstrain,overstrain,overstrain
6314,obtaining,obtain,obtain,obtain
6315,retaining,retain,retain,retain
6316,maintaining,maintain,maintain,maintain
6317,containing,contain,contain,contain
6318,pertaining,pertain,pertain,pertain
6319,entertaining,entertain,entertain,entertain
6320,staining,stain,stain,stain
6321,abstaining,abstain,abstain,abstain
6322,sustaining,sustain,sustain,sustain
6323,attaining,attain,attain,attain
6324,combining,combin,combin,combin
6325,veining,vein,vein,vein
6326,defining,defin,defin,defin
6327,refining,refin,refin,refin
6328,confining,confin,confin,confin
6329,imagining,imagin,imagin,imagin
6330,declining,declin,declin,declin
6331,reclining,reclin,reclin,reclin
6332,headlining,headlin,headlin,headlin
6333,disciplining,disciplin,disciplin,disciplin
6334,underlining,underlin,underlin,underlin
6335,interlining,interlin,interlin,interlin
6336,outlining,outlin,outlin,outlin
6337,examining,examin,examin,examin
6338,undermining,undermin,undermin,undermin
6339,determining,determin,determin,determin
6340,joining,join,join,join
6341,adjoining,adjoin,adjoin,adjoin
6342,rejoining,rejoin,rejoin,rejoin
6343,ruining,ruin,ruin,ruin
6344,divining,divin,divin,divin
6345,damning,damn,damn,damn
6346,condemning,condemn,condemn,condemn
6347,banning,ban,ban,ban
6348,scanning,scan,scan,scan
6349,fanning,fan,fan,fan
6350,channing,chan,chan,chan
6351,planning,plan,plan,plan
6352,manning,man,man,man
6353,spanning,span,span,span
6354,kenning,ken,ken,ken
6355,ginning,gin,gin,gin
6356,beginning,begin,begin,begin
6357,chinning,chin,chin,chin
6358,thinning,thin,thin,thin
6359,pinning,pin,pin,pin
6360,underpinning,underpin,underpin,underpin
6361,spinning,spin,spin,spin
6362,grinning,grin,grin,grin
6363,sinning,sin,sin,sin
6364,tinning,tin,tin,tin
6365,winning,win,win,win
6366,conning,con,con,con
6367,donning,don,don,don
6368,cunning,cun,cun,cun
6369,gunning,gun,gun,gun
6370,shunning,shun,shun,shun
6371,running,run,run,run
6372,sunning,sun,sun,sun
6373,stunning,stun,stun,stun
6374,abandoning,abandon,abandon,abandon
6375,burgeoning,burgeon,burgeon,burgeon
6376,telephoning,telephon,telephon,telephon
6377,microphoning,microphon,microphon,microphon
6378,malfunctioning,malfunct,malfunct,malfunct
6379,conditioning,condit,condit,condit
6380,reconditioning,recondit,recondit,recondit
6381,auditioning,audit,audit,audit
6382,beckoning,beckon,beckon,beckon
6383,reckoning,reckon,reckon,reckon
6384,kooning,koon,koon,koon
6385,ballooning,balloon,balloon,balloon
6386,honeymooning,honeymoon,honeymoon,honeymoon
6387,crooning,croon,croon,croon
6388,postponing,postpon,postpon,postpon
6389,ironing,iron,iron,iron
6390,environing,environ,environ,environ
6391,reasoning,reason,reason,reason
6392,unreasoning,unreason,unreason,unreason
6393,seasoning,season,season,season
6394,poisoning,poison,poison,poison
6395,crimsoning,crimson,crimson,crimson
6396,earning,earn,earn,earn
6397,learning,learn,learn,learn
6398,yearning,yearn,yearn,yearn
6399,warning,warn,warn,warn
6400,concerning,concern,concern,concern
6401,discerning,discern,discern,discern
6402,governing,govern,govern,govern
6403,corning,corn,corn,corn
6404,morning,morn,morn,morn
6405,midmorning,midmorn,midmorn,midmorn
6406,burning,burn,burn,burn
6407,churning,churn,churn,churn
6408,adjourning,adjourn,adjourn,adjourn
6409,mourning,mourn,mourn,mourn
6410,turning,turn,turn,turn
6411,returning,return,return,return
6412,overturning,overturn,overturn,overturn
6413,lightning,lightn,lightn,lightn
6414,dawning,dawn,dawn,dawn
6415,fawning,fawn,fawn,fawn
6416,yawning,yawn,yawn,yawn
6417,owning,own,own,own
6418,downing,down,down,down
6419,clowning,clown,clown,clown
6420,browning,brown,brown,brown
6421,crowning,crown,crown,crown
6422,drowning,drown,drown,drown
6423,frowning,frown,frown,frown
6424,frescoing,fresco,fresco,fresco
6425,wrongdoing,wrongdo,wrongdo,wrongdo
6426,undoing,undo,undo,undo
6427,overdoing,overdo,overdo,overdo
6428,foregoing,forego,forego,forego
6429,churchgoing,churchgo,churchgo,churchgo
6430,nonchurchgoing,nonchurchgo,nonchurchgo,nonchurchgo
6431,thoroughgoing,thoroughgo,thoroughgo,thoroughgo
6432,undergoing,undergo,undergo,undergo
6433,theatergoing,theatergo,theatergo,theatergo
6434,outgoing,outgo,outgo,outgo
6435,easygoing,easygo,easygo,easygo
6436,echoing,echo,echo,echo
6437,cooing,coo,coo,coo
6438,shooing,shoo,shoo,shoo
6439,landscaping,landscap,landscap,landscap
6440,escaping,escap,escap,escap
6441,leaping,leap,leap,leap
6442,reaping,reap,reap,reap
6443,keeping,keep,keep,keep
6444,safekeeping,safekeep,safekeep,safekeep
6445,housekeeping,housekeep,housekeep,housekeep
6446,bookkeeping,bookkeep,bookkeep,bookkeep
6447,sleeping,sleep,sleep,sleep
6448,peeping,peep,peep,peep
6449,creeping,creep,creep,creep
6450,seeping,seep,seep,seep
6451,weeping,weep,weep,weep
6452,sweeping,sweep,sweep,sweep
6453,peiping,peip,peip,peip
6454,gossiping,gossip,gossip,gossip
6455,helping,help,help,help
6456,yelping,yelp,yelp,yelp
6457,camping,camp,camp,camp
6458,clamping,clamp,clamp,clamp
6459,stamping,stamp,stamp,stamp
6460,revamping,revamp,revamp,revamp
6461,swamping,swamp,swamp,swamp
6462,limping,limp,limp,limp
6463,primping,primp,primp,primp
6464,romping,romp,romp,romp
6465,stomping,stomp,stomp,stomp
6466,bumping,bump,bump,bump
6467,dumping,dump,dump,dump
6468,thumping,thump,thump,thump
6469,jumping,jump,jump,jump
6470,pumping,pump,pump,pump
6471,stumping,stump,stump,stump
6472,telescoping,telescop,telescop,telescop
6473,developing,develop,develop,develop
6474,enveloping,envelop,envelop,envelop
6475,galloping,gallop,gallop,gallop
6476,walloping,wallop,wallop,wallop
6477,scooping,scoop,scoop,scoop
6478,whooping,whoop,whoop,whoop
6479,snooping,snoop,snoop,snoop
6480,drooping,droop,droop,droop
6481,stooping,stoop,stoop,stoop
6482,swooping,swoop,swoop,swoop
6483,lapping,lap,lap,lap
6484,clapping,clap,clap,clap
6485,flapping,flap,flap,flap
6486,overlapping,overlap,overlap,overlap
6487,slapping,slap,slap,slap
6488,mapping,map,map,map
6489,napping,nap,nap,nap
6490,kidnapping,kidnap,kidnap,kidnap
6491,snapping,snap,snap,snap
6492,rapping,rap,rap,rap
6493,trapping,trap,trap,trap
6494,wrapping,wrap,wrap,wrap
6495,sapping,sap,sap,sap
6496,tapping,tap,tap,tap
6497,yapping,yap,yap,yap
6498,pepping,pep,pep,pep
6499,stepping,step,step,step
6500,overstepping,overstep,overstep,overstep
6501,dipping,dip,dip,dip
6502,chipping,chip,chip,chip
6503,shipping,ship,ship,ship
6504,worshipping,worship,worship,worship
6505,whipping,whip,whip,whip
6506,skipping,skip,skip,skip
6507,flipping,flip,flip,flip
6508,slipping,slip,slip,slip
6509,ripping,rip,rip,rip
6510,dripping,drip,drip,drip
6511,gripping,grip,grip,grip
6512,tripping,trip,trip,trip
6513,outstripping,outstrip,outstrip,outstrip
6514,sipping,sip,sip,sip
6515,tipping,tip,tip,tip
6516,quipping,quip,quip,quip
6517,equipping,equip,equip,equip
6518,hopping,hop,hop,hop
6519,chopping,chop,chop,chop
6520,shopping,shop,shop,shop
6521,whopping,whop,whop,whop
6522,slopping,slop,slop,slop
6523,mopping,mop,mop,mop
6524,popping,pop,pop,pop
6525,cropping,crop,crop,crop
6526,dropping,drop,drop,drop
6527,propping,prop,prop,prop
6528,sopping,sop,sop,sop
6529,topping,top,top,top
6530,stopping,stop,stop,stop
6531,carping,carp,carp,carp
6532,harping,harp,harp,harp
6533,warping,warp,warp,warp
6534,chirping,chirp,chirp,chirp
6535,gasping,gasp,gasp,gasp
6536,clasping,clasp,clasp,clasp
6537,unclasping,unclasp,unclasp,unclasp
6538,rasping,rasp,rasp,rasp
6539,grasping,grasp,grasp,grasp
6540,lisping,lisp,lisp,lisp
6541,grouping,group,group,group
6542,regrouping,regroup,regroup,regroup
6543,varityping,varityp,varityp,varityp
6544,bearing,bear,bear,bear
6545,forebearing,forebear,forebear,forebear
6546,overbearing,overbear,overbear,overbear
6547,endearing,endear,endear,endear
6548,fearing,fear,fear,fear
6549,gearing,gear,gear,gear
6550,hearing,hear,hear,hear
6551,rehearing,rehear,rehear,rehear
6552,overhearing,overhear,overhear,overhear
6553,shearing,shear,shear,shear
6554,clearing,clear,clear,clear
6555,nearing,near,near,near
6556,appearing,appear,appear,appear
6557,reappearing,reappear,reappear,reappear
6558,disappearing,disappear,disappear,disappear
6559,rearing,rear,rear,rear
6560,searing,sear,sear,sear
6561,tearing,tear,tear,tear
6562,wearing,wear,wear,wear
6563,swearing,swear,swear,swear
6564,roaring,roar,roar,roar
6565,soaring,soar,soar,soar
6566,remembering,rememb,rememb,rememb
6567,considering,consid,consid,consid
6568,surrendering,surrend,surrend,surrend
6569,commandeering,command,command,command
6570,leering,leer,leer,leer
6571,mountaineering,mountain,mountain,mountain
6572,engineering,engin,engin,engin
6573,domineering,domin,domin,domin
6574,peering,peer,peer,peer
6575,junketeering,junket,junket,junket
6576,volunteering,volunt,volunt,volunt
6577,veering,veer,veer,veer
6578,longsuffering,longsuff,longsuff,longsuff
6579,interfering,interf,interf,interf
6580,endangering,endang,endang,endang
6581,warmongering,warmong,warmong,warmong
6582,goering,goer,goer,goer
6583,rechartering,rechart,rechart,rechart
6584,reupholstering,reupholst,reupholst,reupholst
6585,recovering,recov,recov,recov
6586,discovering,discov,discov,discov
6587,rediscovering,rediscov,rediscov,rediscov
6588,maneuvering,maneuv,maneuv,maneuv
6589,empowering,empow,empow,empow
6590,overpowering,overpow,overpow,overpow
6591,diffring,diffr,diffr,diffr
6592,fairing,fair,fair,fair
6593,chairing,chair,chair,chair
6594,repairing,repair,repair,repair
6595,despairing,despair,despair,despair
6596,admiring,admir,admir,admir
6597,aspiring,aspir,aspir,aspir
6598,transpiring,transpir,transpir,transpir
6599,inspiring,inspir,inspir,inspir
6600,perspiring,perspir,perspir,perspir
6601,desiring,desir,desir,desir
6602,retiring,retir,retir,retir
6603,acquiring,acquir,acquir,acquir
6604,requiring,requir,requir,requir
6605,inquiring,inquir,inquir,inquir
6606,mooring,moor,moor,moor
6607,offspring,offspr,offspr,offspr
6608,barring,bar,bar,bar
6609,marring,mar,mar,mar
6610,sparring,spar,spar,spar
6611,starring,star,star,star
6612,warring,war,war,war
6613,deferring,defer,defer,defer
6614,referring,refer,refer,refer
6615,preferring,prefer,prefer,prefer
6616,conferring,confer,confer,confer
6617,transferring,transfer,transfer,transfer
6618,unerring,uner,uner,uner
6619,whirring,whir,whir,whir
6620,stirring,stir,stir,stir
6621,occurring,occur,occur,occur
6622,recurring,recur,recur,recur
6623,incurring,incur,incur,incur
6624,purring,pur,pur,pur
6625,spurring,spur,spur,spur
6626,pouring,pour,pour,pour
6627,touring,tour,tour,tour
6628,easing,eas,eas,eas
6629,ceasing,ceas,ceas,ceas
6630,unceasing,unceas,unceas,unceas
6631,leasing,leas,leas,leas
6632,releasing,releas,releas,releas
6633,pleasing,pleas,pleas,pleas
6634,appeasing,appeas,appeas,appeas
6635,decreasing,decreas,decreas,decreas
6636,increasing,increas,increas,increas
6637,teasing,teas,teas,teas
6638,purchasing,purchas,purchas,purchas
6639,erasing,eras,eras,eras
6640,paraphrasing,paraphras,paraphras,paraphras
6641,sudsing,suds,suds,suds
6642,raising,rais,rais,rais
6643,zeising,zeis,zeis,zeis
6644,alsing,als,als,als
6645,pulsing,puls,puls,puls
6646,cleansing,cleans,cleans,cleans
6647,licensing,licens,licens,licens
6648,condensing,condens,condens,condens
6649,dispensing,dispens,dispens,dispens
6650,sensing,sens,sens,sens
6651,tensing,tens,tens,tens
6652,rinsing,rins,rins,rins
6653,foreclosing,foreclos,foreclos,foreclos
6654,enclosing,enclos,enclos,enclos
6655,diagnosing,diagnos,diagnos,diagnos
6656,choosing,choos,choos,choos
6657,imposing,impos,impos,impos
6658,unimposing,unimpos,unimpos,unimpos
6659,superimposing,superimpos,superimpos,superimpos
6660,composing,compos,compos,compos
6661,decomposing,decompos,decompos,decompos
6662,proposing,propos,propos,propos
6663,opposing,oppos,oppos,oppos
6664,supposing,suppos,suppos,suppos
6665,interposing,interpos,interpos,interpos
6666,exposing,expos,expos,expos
6667,lapsing,laps,laps,laps
6668,collapsing,collaps,collaps,collaps
6669,traipsing,traips,traips,traips
6670,eclipsing,eclips,eclips,eclips
6671,rehearsing,rehears,rehears,rehears
6672,dispersing,dispers,dispers,dispers
6673,traversing,travers,travers,travers
6674,reversing,revers,revers,revers
6675,conversing,convers,convers,convers
6676,endorsing,endors,endors,endors
6677,cursing,curs,curs,curs
6678,nursing,nurs,nurs,nurs
6679,coursing,cours,cours,cours
6680,gassing,gass,gass,gass
6681,massing,mass,mass,mass
6682,amassing,amass,amass,amass
6683,passing,pass,pass,pass
6684,harassing,harass,harass,harass
6685,embarrassing,embarrass,embarrass,embarrass
6686,sassing,sass,sass,sass
6687,canvassing,canvass,canvass,canvass
6688,processing,process,process,process
6689,confessing,confess,confess,confess
6690,professing,profess,profess,profess
6691,lessing,less,less,less
6692,blessing,bless,bless,bless
6693,messing,mess,mess,mess
6694,harnessing,har,har,har
6695,witnessing,wit,wit,wit
6696,caressing,caress,caress,caress
6697,dressing,dress,dress,dress
6698,addressing,address,address,address
6699,undressing,undress,undress,undress
6700,progressing,progress,progress,progress
6701,pressing,press,press,press
6702,depressing,depress,depress,depress
6703,impressing,impress,impress,impress
6704,compressing,compress,compress,compress
6705,expressing,express,express,express
6706,distressing,distress,distress,distress
6707,assessing,assess,assess,assess
6708,possessing,possess,possess,possess
6709,guessing,guess,guess,guess
6710,hissing,hiss,hiss,hiss
6711,kissing,kiss,kiss,kiss
6712,missing,miss,miss,miss
6713,dismissing,dismiss,dismiss,dismiss
6714,crossing,cross,cross,cross
6715,grossing,gross,gross,gross
6716,engrossing,engross,engross,engross
6717,tossing,toss,toss,toss
6718,discussing,discuss,discuss,discuss
6719,fussing,fuss,fuss,fuss
6720,causing,caus,caus,caus
6721,pausing,paus,paus,paus
6722,accusing,accus,accus,accus
6723,focusing,focus,focus,focus
6724,defocusing,defocus,defocus,defocus
6725,refocusing,refocus,refocus,refocus
6726,caucusing,caucus,caucus,caucus
6727,refusing,refus,refus,refus
6728,diffusing,diffus,diffus,diffus
6729,confusing,confus,confus,confus
6730,amusing,amus,amus,amus
6731,housing,hous,hous,hous
6732,warehousing,wareh,wareh,wareh
6733,rousing,rous,rous,rous
6734,perusing,perus,perus,perus
6735,browsing,brows,brows,brows
6736,drowsing,drows,drows,drows
6737,reprobating,reprob,reprob,reprob
6738,incubating,incub,incub,incub
6739,intoxicating,intox,intox,intox
6740,suffocating,suffoc,suffoc,suffoc
6741,advocating,advoc,advoc,advoc
6742,confiscating,confisc,confisc,confisc
6743,educating,educ,educ,educ
6744,validating,valid,valid,valid
6745,consolidating,consolid,consolid,consolid
6746,liquidating,liquid,liquid,liquid
6747,inundating,inund,inund,inund
6748,accommodating,accommod,accommod,accommod
6749,eating,eat,eat,eat
6750,beating,beat,beat,beat
6751,heating,heat,heat,heat
6752,overheating,overh,overh,overh
6753,delineating,delin,delin,delin
6754,seating,seat,seat,seat
6755,delegating,deleg,deleg,deleg
6756,segregating,segreg,segreg,segreg
6757,irrigating,irrig,irrig,irrig
6758,mitigating,mitig,mitig,mitig
6759,investigating,investig,investig,investig
6760,instigating,instig,instig,instig
6761,navigating,navig,navig,navig
6762,promulgating,promulg,promulg,promulg
6763,conjugating,conjug,conjug,conjug
6764,correlating,correl,correl,correl
6765,ventilating,ventil,ventil,ventil
6766,oscillating,oscil,oscil,oscil
6767,titillating,titil,titil,titil
6768,scintillating,scintil,scintil,scintil
6769,isolating,isol,isol,isol
6770,contemplating,contempl,contempl,contempl
6771,intimating,intim,intim,intim
6772,estimating,estim,estim,estim
6773,designating,design,design,design
6774,vaccinating,vaccin,vaccin,vaccin
6775,ratiocinating,ratiocin,ratiocin,ratiocin
6776,fascinating,fascin,fascin,fascin
6777,hallucinating,hallucin,hallucin,hallucin
6778,iodinating,iodin,iodin,iodin
6779,ordinating,ordin,ordin,ordin
6780,coordinating,coordin,coordin,coordin
6781,originating,origin,origin,origin
6782,laminating,lamin,lamin,lamin
6783,contaminating,contamin,contamin,contamin
6784,disseminating,dissemin,dissemin,dissemin
6785,eliminating,elimin,elimin,elimin
6786,incriminating,incrimin,incrimin,incrimin
6787,discriminating,discrimin,discrimin,discrimin
6788,indiscriminating,indiscrimin,indiscrimin,indiscrimin
6789,culminating,culmin,culmin,culmin
6790,fulminating,fulmin,fulmin,fulmin
6791,dominating,domin,domin,domin
6792,predominating,predomin,predomin,predomin
6793,nominating,nomin,nomin,nomin
6794,terminating,termin,termin,termin
6795,exterminating,extermin,extermin,extermin
6796,illuminating,illumin,illumin,illumin
6797,marinating,marin,marin,marin
6798,indoctrinating,indoctrin,indoctrin,indoctrin
6799,agglutinating,agglutin,agglutin,agglutin
6800,detonating,deton,deton,deton
6801,alternating,altern,altern,altern
6802,boating,boat,boat,boat
6803,coating,coat,coat,coat
6804,knifecoating,knifeco,knifeco,knifeco
6805,anticipating,anticip,anticip,anticip
6806,participating,particip,particip,particip
6807,dissipating,dissip,dissip,dissip
6808,extirpating,extirp,extirp,extirp
6809,celebrating,celebr,celebr,celebr
6810,calibrating,calibr,calibr,calibr
6811,integrating,integr,integr,integr
6812,disintegrating,disintegr,disintegr,disintegr
6813,emigrating,emigr,emigr,emigr
6814,transpirating,transpir,transpir,transpir
6815,compensating,compens,compens,compens
6816,meditating,medit,medit,medit
6817,agitating,agit,agit,agit
6818,rehabilitating,rehabilit,rehabilit,rehabilit
6819,debilitating,debilit,debilit,debilit
6820,facilitating,facilit,facilit,facilit
6821,imitating,imit,imit,imit
6822,precipitating,precipit,precipit,precipit
6823,irritating,irrit,irrit,irrit
6824,hesitating,hesit,hesit,hesit
6825,necessitating,necessit,necessit,necessit
6826,devastating,devast,devast,devast
6827,evaluating,evalu,evalu,evalu
6828,extenuating,extenu,extenu,extenu
6829,insinuating,insinu,insinu,insinu
6830,perpetuating,perpetu,perpetu,perpetu
6831,enervating,enerv,enerv,enerv
6832,doubting,doubt,doubt,doubt
6833,acting,act,act,act
6834,reacting,react,react,react
6835,enacting,enact,enact,enact
6836,interacting,interact,interact,interact
6837,counteracting,counteract,counteract,counteract
6838,subtracting,subtract,subtract,subtract
6839,contracting,contract,contract,contract
6840,subcontracting,subcontract,subcontract,subcontract
6841,abstracting,abstract,abstract,abstract
6842,distracting,distract,distract,distract
6843,attracting,attract,attract,attract
6844,extracting,extract,extract,extract
6845,contacting,contact,contact,contact
6846,exacting,exact,exact,exact
6847,affecting,affect,affect,affect
6848,effecting,effect,effect,effect
6849,perfecting,perfect,perfect,perfect
6850,objecting,object,object,object
6851,rejecting,reject,reject,reject
6852,injecting,inject,inject,inject
6853,projecting,project,project,project
6854,electing,elect,elect,elect
6855,selecting,select,select,select
6856,reflecting,reflect,reflect,reflect
6857,inflecting,inflect,inflect,inflect
6858,neglecting,neglect,neglect,neglect
6859,collecting,collect,collect,collect
6860,connecting,connect,connect,connect
6861,respecting,respect,respect,respect
6862,inspecting,inspect,inspect,inspect
6863,suspecting,suspect,suspect,suspect
6864,unsuspecting,unsuspect,unsuspect,unsuspect
